AnnualAverageWaterLevel,AnnualMaximumDailyWaterLevel,AnnualMaximumMomentWaterLevel,AnnualMinimumDailyWaterLevel,AnnualMinimumMomentWaterLevel,AnnualOccurredDateOfMaximumDailyWaterLevel,AnnualOccurredDateOfMinimumDailyWaterLevel,AnnualOccurredTimeOfMaximumMomentWaterLevel,AnnualOccurredTimeOfMinimumMomentWaterLevel,WellIdentifier,Year
"-7.73","-5.36","-5.58","-9.23","-9.67","0202","0802","021507","080415","01010221","1994"
"-8.15","-4.93","0.00","-10.43","-10.57","0205","1128","060501","100217","01010221","1995"
"-6.82","-5.34","-5.26","-7.70","-7.78","0929","0525","093003","052520","01010221","1996"
"-5.82","-3.40","-3.37","-7.18","-7.26","0211","0607","021103","060716","01010221","1997"
"-5.16","-1.30","-1.18","-6.79","-6.90","0201","0718","020205","072420","01010221","1998"
"-4.45","-0.43","-0.30","-6.79","-6.98","0221","0519","022206","061619","01010221","1999"
"-3.79","0.26","0.31","-5.75","-6.09","0208","1222","020802","122121","01010221","2000"
"-5.58","-0.98","-0.86","-8.13","-8.25","0128","0401","012806","040121","01010221","2001"
"-5.77","-3.50","-3.34","-6.84","-6.90","0217","0628","021806","063001","01010221","2002"
"-5.67","-3.59","-3.51","-6.97","-7.04","0205","0502","020604","050217","01010221","2003"
"-5.11","-3.59","-3.31","-5.85","-6.02","0126","1210","082509","111220","01010221","2004"
"-4.64","-2.75","0.00","-6.11","-6.17","1010","0528","113024","052821","01010221","2005"
"-5.67","-3.45","-3.39","-9.87","-10.03","0202","0825","020203","100315","01010221","2006"
"-3.41","-1.44","-1.28","-4.69","-4.77","0926","1228","091824","112420","01010221","2007"
"-3.37","0.99","1.25","-5.18","-5.25","1111","0315","111012","032122","01010221","2008"
"-1.87","6.98","7.40","-3.22","-3.29","1013","0612","101913","070319","01010221","2009"
"-2.13","-0.09","-0.05","-4.59","-4.63","0218","1231","021807","123118","01010221","2010"
"-4.21","-2.85","-2.79","-5.30","-5.35","1003","1125","100318","112520","01010221","2011"
"-5.71","-3.06","-3.02","-7.34","-7.37","1231","0601","123116","060117","01010221","2012"
"-1.55","-0.38","-0.31","-3.22","-3.29","1231","0111","123113","011122","01010221","2013"
"-0.42","0.36","0.41","-0.84","-0.91","0203","0503","020316","033010","01010221","2014"
"-2.17","-1.65","-1.63","-2.54","-2.59","0929","0826","092905","082619","01010222","2015"
"-0.82","0.32","0.34","-2.29","-2.33","0928","0125","092801","012423","01010222","2016"
"0.10","0.83","0.84","-1.64","-1.66","0711","1230","071104","123021","01010222","2017"
"-1.47","-0.38","-0.37","-2.38","-2.40","0102","0418","010212","041810","01010222","2019"
"2.29","3.11","3.44","1.29","-14.10","0515","0628","071812","110813","01010311","2005"
"1.95","2.55","2.64","1.29","1.28","0917","0407","091516","040707","01010311","2006"
"2.17","3.02","3.12","0.54","0.53","0310","0601","030503","060120","01010311","2007"
"2.52","2.93","2.96","2.16","2.15","0930","0101","093007","010106","01010311","2008"
"2.80","3.15","3.16","2.61","2.60","0814","0105","081319","010510","01010311","2009"
"2.83","3.11","3.47","2.53","2.52","0627","1231","062719","123109","01010311","2010"
"2.73","3.05","3.35","2.45","2.44","0625","0211","062510","021122","01010311","2011"
"2.78","3.06","3.28","2.48","2.35","0226","1113","081219","111613","01010311","2012"
"2.76","3.18","3.20","2.34","-1.72","0824","0604","082422","060413","01010311","2013"
"2.59","3.62","4.83","2.35","2.34","0521","1112","073110","111207","01010311","2014"
"2.44","2.71","3.34","2.13","2.12","0524","0924","082820","092414","01010311","2015"
"2.21","2.96","3.93","1.54","1.53","0314","0528","031912","053004","01010311","2016"
"2.69","3.57","4.44","2.26","2.24","0617","0101","061723","010101","01010311","2017"
"2.72","3.11","3.61","2.54","2.53","0109","0105","010906","010510","01010311","2018"
"2.57","3.08","3.11","1.89","1.88","0614","1202","061415","120320","01010311","2019"
"-6.32","-3.30","0.00","-10.90","-11.10","1017","0228","113024","022823","01010321","2005"
"-11.53","-8.01","-7.85","-14.47","-14.57","1231","0829","123122","082519","01010321","2006"
"-6.75","-3.83","-3.73","-11.93","-12.01","0625","1230","062507","123111","01010321","2007"
"-7.72","-2.71","-2.51","-13.59","-13.68","1110","0307","111008","030718","01010321","2008"
"-4.50","-1.69","-1.59","-7.29","-7.37","1116","0612","111612","062609","01010321","2009"
"-6.36","-1.00","-0.92","-13.69","-13.76","0222","1231","022205","123116","01010321","2010"
"-9.56","-6.15","-6.04","-13.70","-13.77","1002","0101","100216","010104","01010321","2011"
"-14.01","-8.31","-8.19","-16.02","-16.14","0110","0728","011014","072813","01010321","2012"
"-4.85","-1.71","-1.60","-11.11","-14.74","1230","0101","123112","060413","01010321","2013"
"-0.67","0.29","0.42","-1.96","-2.03","1012","0328","101215","031420","01010321","2014"
"-0.75","0.33","0.43","-2.38","-2.46","0224","1231","022417","123122","01010321","2015"
"-1.92","-0.68","-0.51","-3.51","-3.60","1018","0429","092720","042823","01010321","2016"
"-2.06","-0.21","-0.09","-9.73","-9.82","0710","1222","062703","122221","01010321","2017"
"-2.79","-0.61","-0.51","-9.14","-9.23","1105","0101","110511","010108","01010321","2018"
"-8.28","-4.71","-4.65","-11.00","-11.09","0101","0607","010108","060710","01010321","2019"
"","-999998.00","-999998.00","-999998.00","-999998.00","","","","","010111R1","2001"
"-11.54","-9.99","-9.98","-12.68","-12.61","0407","0123","040715","012916","010111R2","1994"
"-12.19","-10.11","-10.10","-13.59","-13.59","0209","1008","020901","100803","010111R2","1995"
"-10.16","-8.82","-8.81","-12.62","-12.63","1231","0101","123120","010101","010111R2","1996"
"-8.17","-7.34","-7.34","-8.80","-8.81","0216","0101","021509","010101","010111R2","1997"
"-7.20","-6.00","-5.99","-7.93","-7.94","0204","0119","020321","011912","010111R2","1998"
"-6.43","-4.61","-4.60","-7.81","-7.81","1006","0614","100603","061320","010111R2","1999"
"-5.63","-3.66","-3.64","-6.63","-6.63","0213","1224","021312","122410","010111R2","2000"
"-7.50","-5.70","-5.69","-8.98","-8.99","0131","0405","013108","040508","010111R2","2001"
"-6.33","-5.44","-5.19","-7.96","-7.98","0219","0309","042021","030913","010111R2","2002"
"-5.80","-4.24","28.55","-6.51","-6.51","0909","1228","090913","122804","010111R2","2003"
"-6.29","-5.13","-5.13","-7.74","-7.77","0129","1112","012904","111221","010111R2","2004"
"-5.82","-3.56","-3.52","-7.92","-7.95","1017","0520","101715","052019","010111R2","2005"
"-8.69","-6.57","-6.56","-10.61","-10.63","0101","0910","010101","090924","010111R2","2006"
"-6.20","-4.41","-4.39","-8.81","-8.81","0621","1201","062111","120110","010111R2","2007"
"-7.26","-3.15","-3.05","-9.42","-9.42","1116","0315","111705","031424","010111R2","2008"
"-5.23","9.41","9.49","-8.73","-9.81","1130","0529","110914","102606","010111R2","2009"
"-4.43","-1.33","-1.32","-8.73","-8.77","0222","1231","022205","123124","010111R2","2010"
"-7.75","-5.80","-5.76","-8.97","-9.02","0906","0121","090614","012123","010111R2","2011"
"-9.92","-6.84","-6.82","-11.82","-11.83","1229","0616","122915","061616","010111R2","2012"
"-3.29","-1.81","-1.77","-6.87","-6.89","1231","0101","123116","010101","010111R2","2013"
"-1.15","-0.42","-0.35","-1.99","-2.02","0801","0404","080115","040502","010111R2","2014"
"-1.75","-0.15","-0.14","-3.17","-3.19","0225","0827","022509","082623","010111R2","2015"
"-2.39","-0.70","-0.69","-4.44","-4.45","1101","0429","110117","042823","010111R2","2016"
"-0.93","0.22","0.23","-4.87","-4.88","0606","1231","060612","123112","010111R2","2017"
"-1.62","-0.40","-0.38","-4.87","-4.88","0221","0101","022119","010101","010111R2","2018"
"-5.25","-2.21","-2.19","-8.00","-8.01","0102","1220","010218","122004","010111R2","2019"
"-11.80","-11.24","-11.06","-12.71","-12.88","1226","0910","122706","091020","010211T1","1994"
"-12.26","-9.68","-9.52","-14.49","-14.64","0206","1007","020604","100717","010211T1","1995"
"-8.59","-6.83","-6.67","-12.48","-12.66","1230","0101","123002","010102","010211T1","1996"
"-6.75","-5.47","-5.30","-7.39","-7.55","0212","0816","021203","081616","010211T1","1997"
"-5.80","-4.78","-4.55","-7.09","-7.20","1016","0110","101619","011004","010211T1","1998"
"-5.01","-3.92","-3.72","-5.85","-6.02","0221","0824","022204","091018","010211T1","1999"
"-4.69","-4.03","-3.90","-5.33","-5.49","0103","0805","010309","080319","010211T1","2000"
"-4.53","-2.99","-2.87","-5.57","-5.70","1003","0331","100311","033020","010211T1","2001"
"-3.89","-2.43","-2.29","-4.38","-4.53","0217","0920","021714","092018","010211T1","2002"
"-4.09","-2.46","-2.33","-5.54","-5.68","0209","1226","020615","122708","010211T1","2003"
"-5.74","-4.09","-3.48","-8.79","-8.90","0127","1112","082510","111217","010211T1","2004"
"-6.24","-2.84","-2.68","-11.26","-11.55","1017","0519","101718","051914","010211T1","2005"
"-12.78","-8.45","-8.30","-16.82","-17.24","1230","0826","123121","040109","010211T1","2006"
"-7.07","-3.42","0.00","-12.14","-12.18","0625","1214","053124","110110","010211T1","2007"
"-7.34","-1.95","-1.82","-14.99","-15.09","1027","0306","102711","030605","010211T1","2008"
"-2.72","-1.36","-1.24","-5.25","-17.95","1109","0708","101912","070815","010211T1","2009"
"-6.77","-0.72","-0.63","-15.68","-15.80","0222","1223","022205","122307","010211T1","2010"
"-10.30","-5.68","-5.55","-15.68","-15.82","1001","0101","100115","010507","010211T1","2011"
"-15.86","-8.74","-8.54","-18.43","-18.54","0110","0731","011013","073016","010211T1","2012"
"-4.91","-1.86","-1.71","-12.50","-12.61","1229","0101","123112","010109","010211T1","2013"
"-1.09","-0.25","-0.12","-2.02","-2.13","0801","0328","080104","032818","010211T1","2014"
"-1.28","-0.35","-0.24","-2.15","-2.26","0225","1231","022505","123123","010211T1","2015"
"-1.21","-0.07","0.07","-2.58","-2.69","0711","0426","072001","042521","010211T1","2016"
"-2.18","-0.23","0.04","-11.09","-11.19","0710","1222","060213","122209","010211T1","2017"
"-2.54","-0.44","-0.30","-10.31","-10.44","1105","0101","110612","010106","010211T1","2018"
"-8.80","-3.25","-3.12","-12.11","-12.21","0101","0612","010109","060621","010211T1","2019"
"-11.62","-7.78","10.81","-16.79","-16.98","0131","1223","080914","122311","010212R1","1993"
"-13.21","-10.98","-10.74","-16.92","-17.14","0405","0107","040519","010715","010212R1","1994"
"-13.12","-10.33","-10.06","-15.21","-15.51","0205","1007","020603","100717","010212R1","1995"
"-9.30","-7.47","-7.13","-13.07","-13.27","1229","0112","080104","011018","010212R1","1996"
"-7.46","-6.01","-5.72","-8.17","-8.43","0211","0815","021202","081616","010212R1","1997"
"-6.74","-5.74","-5.43","-7.81","-8.02","0201","0110","101618","011015","010212R1","1998"
"-6.19","-4.86","-4.66","-6.96","-7.25","0221","0612","022115","061215","010212R1","1999"
"-5.58","-4.19","-3.96","-6.39","-6.64","0209","0805","021001","073117","010212R1","2000"
"-4.81","-3.58","-3.36","-5.80","-6.02","1002","0323","100123","032318","010212R1","2001"
"-4.28","-2.96","-2.78","-4.94","-5.10","0217","0124","021715","012514","010212R1","2002"
"-4.25","-2.56","-2.38","-5.72","-5.85","0205","1226","020514","122518","010212R1","2003"
"-5.87","-4.13","-3.94","-8.80","-9.01","0126","1112","012614","111216","010212R1","2004"
"-6.01","-2.87","0.00","-11.02","-11.28","1017","0519","113024","051914","010212R1","2005"
"-12.27","-8.19","-7.98","-15.85","-15.97","1231","0829","123121","082909","010212R1","2006"
"-7.22","-3.42","0.00","-13.03","-13.03","0625","1231","123101","123124","010212R1","2007"
"-7.82","-1.91","-1.76","-17.90","-18.08","1110","0531","111008","053121","010212R1","2008"
"-1.43","11.89","12.19","-4.52","-4.67","1130","0626","110122","062709","010212R1","2009"
"-6.44","-0.75","-0.63","-14.71","-14.79","0222","1214","022204","121410","010212R1","2010"
"-9.98","-5.71","-5.45","-14.81","-14.84","0929","0115","092914","011123","010212R1","2011"
"-15.42","-8.64","-8.46","-17.95","-18.08","0110","0731","011013","073016","010212R1","2012"
"-4.90","-1.81","-1.64","-12.19","-12.30","1230","0101","123112","010109","010212R1","2013"
"-1.10","-0.30","-0.08","-2.08","-2.21","1012","0321","101215","032121","010212R1","2014"
"-1.32","-0.37","-0.22","-2.17","-2.28","0225","1231","022505","123122","010212R1","2015"
"-1.27","-0.11","0.07","-2.61","-2.74","0719","0426","072403","042621","010212R1","2016"
"-2.24","-0.25","-0.04","-11.12","-11.22","0710","1222","062602","122210","010212R1","2017"
"-2.73","-0.57","-0.40","-10.27","-10.40","1105","0101","110422","010104","010212R1","2018"
"-8.34","-4.07","-3.95","-10.90","-11.02","0101","0227","010109","022624","010212R1","2019"
"2.66","2.98","3.01","2.03","2.31","0811","0101","081515","012903","010311R2","1994"
"2.90","3.69","3.74","2.58","2.56","0121","1123","012120","112322","010311R2","1995"
"2.94","3.55","7.07","2.69","2.68","0801","0220","080103","021909","010311R2","1996"
"2.86","3.46","3.52","0.30","0.30","0626","1211","062218","121105","010311R2","1997"
"1.71","2.73","2.80","0.04","0.02","1016","0118","101608","011905","010311R2","1998"
"0.56","3.39","3.41","-1.24","-1.28","1219","0710","121913","070923","010311R2","1999"
"4.01","6.19","6.22","1.43","0.84","0813","0606","081304","051217","010311R2","2000"
"3.34","3.93","5.11","2.96","2.35","0630","0915","091711","091517","010311R2","2001"
"3.23","3.56","3.61","2.97","2.96","0306","1226","030515","122610","010311R2","2002"
"2.07","3.07","3.10","1.18","1.64","0107","0303","010712","050514","010311R2","2003"
"2.44","3.05","3.13","1.42","1.40","0825","1204","082509","120402","010311R2","2004"
"2.54","3.16","3.17","1.32","1.26","1002","0228","100206","030213","010311R2","2005"
"1.84","2.48","2.49","1.56","1.56","0101","1024","010114","082920","010311R2","2006"
"2.36","2.82","2.83","1.44","1.42","0611","1231","061114","123123","010311R2","2007"
"1.69","2.38","2.38","1.14","1.13","1222","0528","122209","052813","010311R2","2008"
"2.52","2.84","2.85","1.97","1.71","1110","0708","111016","070715","010311R2","2009"
"2.11","2.84","2.85","0.95","0.91","0225","1231","022611","123124","010311R2","2010"
"1.54","2.07","2.12","0.91","0.90","1024","0101","102414","010102","010311R2","2011"
"1.19","1.87","1.91","0.76","0.75","0114","0907","011415","090723","010311R2","2012"
"2.06","2.63","2.70","1.20","1.18","0822","0101","082123","010322","010311R2","2013"
"2.54","2.99","2.99","2.23","2.18","1101","0423","103115","051217","010311R2","2014"
"2.70","3.00","3.09","2.35","2.33","0929","0607","092823","060705","010311R2","2015"
"3.05","3.40","3.47","2.66","2.65","0801","0101","092720","010101","010311R2","2016"
"2.89","3.39","3.42","1.70","1.69","0604","1221","060321","122106","010311R2","2017"
"2.48","2.75","2.76","1.73","1.72","1206","0101","120616","010101","010311R2","2018"
"1.48","2.48","2.48","1.04","1.02","0101","0428","010101","042723","010311R2","2019"
"1.79","2.47","2.52","0.95","-13.74","0806","1110","080604","111010","01040111","2005"
"1.64","2.09","2.13","1.43","1.41","0611","0109","061101","011107","01040111","2006"
"1.74","2.69","2.80","1.03","1.02","1007","1213","100710","121309","01040111","2007"
"1.76","2.92","2.96","1.44","1.43","0929","0114","092906","010405","01040111","2008"
"1.71","2.92","2.99","1.32","1.30","0815","0219","081421","022207","01040111","2009"
"1.88","2.35","2.38","1.58","1.55","1023","0125","102224","020906","01040111","2010"
"1.80","2.16","2.19","1.19","1.16","1215","1030","120713","103023","01040111","2011"
"1.42","2.27","2.30","0.91","0.89","0803","1108","080214","111007","01040111","2012"
"1.70","2.48","2.52","0.83","-2.36","1007","0131","090215","060411","01040111","2013"
"2.10","2.52","2.55","1.62","1.60","0609","1230","060911","123018","01040111","2014"
"1.71","2.41","2.44","1.34","1.33","0930","1121","093015","112117","01040111","2015"
"1.92","2.34","2.36","1.57","1.56","0928","0101","092813","010101","01040111","2016"
"1.96","2.63","2.65","1.52","1.49","0619","0219","061908","022207","01040111","2017"
"1.84","2.09","2.10","1.64","1.62","0206","0804","020605","080920","01040111","2018"
"1.55","2.06","2.09","0.93","0.92","1001","0527","100114","052718","01040111","2019"
"-4.63","-1.92","0.00","-9.10","-9.26","1010","0519","113024","051915","01040121","2005"
"-10.13","-6.55","-6.41","-13.07","-13.15","1231","0829","123121","082909","01040121","2006"
"-5.48","-2.42","-2.30","-10.88","-10.97","0625","1231","062507","123111","01040121","2007"
"-5.94","-0.89","-0.77","-12.44","-12.53","1013","0307","101323","030718","01040121","2008"
"-1.93","-0.14","0.06","-3.57","-3.67","0821","0611","081923","062709","01040121","2009"
"-5.34","-0.05","0.03","-12.73","-12.81","0222","1231","022204","123113","01040121","2010"
"-8.19","-4.25","-4.11","-12.76","-12.84","1001","0101","100115","010205","01040121","2011"
"-12.34","2.87","2.89","-15.63","-15.72","0127","0730","012716","073017","01040121","2012"
"-3.87","-0.99","-0.87","-10.12","-12.79","1228","0101","123011","060412","01040121","2013"
"-0.41","0.44","0.60","-1.46","-1.56","0710","0322","101215","032122","01040121","2014"
"-0.62","0.20","0.32","-1.49","-1.59","0225","0806","022416","080522","01040121","2015"
"-0.70","0.64","0.76","-2.01","-2.12","0719","0428","071924","042823","01040121","2016"
"-1.85","0.14","0.34","-9.89","-10.12","0627","1222","062702","122312","01040121","2017"
"-3.03","0.06","0.21","-9.17","-9.25","1105","0101","110523","010119","01040121","2018"
"-8.23","-3.18","-3.02","-10.89","-11.00","0101","0606","010109","060519","01040121","2019"
"-8.25","-5.03","0.00","-12.28","-23.97","1011","0520","113024","110910","01050111","2005"
"-13.00","-9.41","-9.28","-16.17","-16.24","1225","0902","122508","090124","01050111","2006"
"-8.38","-5.51","-5.41","-13.09","-13.17","0620","1221","062007","122118","01050111","2007"
"-8.75","-3.93","-3.81","-14.67","-14.74","1013","0307","101308","030720","01050111","2008"
"-5.05","-2.97","-2.93","-7.03","-7.08","0131","0626","020105","062624","01050111","2009"
"-7.34","-1.92","-1.89","-13.78","-13.82","0219","1231","021915","122421","01050111","2010"
"-10.13","-6.46","-6.39","-13.79","-13.84","1024","0107","102411","010721","01050111","2011"
"-14.43","-8.92","-8.88","-16.61","-16.65","0101","0728","010101","072802","01050111","2012"
"-5.07","-2.70","-2.60","-11.57","-11.62","1209","0101","123115","010101","01050111","2013"
"-1.97","-1.29","-1.23","-2.78","-2.82","1027","0314","102715","031415","01050111","2014"
"-2.37","-1.02","-0.97","-3.92","-3.99","0224","0825","022417","082612","01050111","2015"
"-2.16","-1.09","-1.02","-3.58","-3.62","1017","0429","101714","042824","01050111","2016"
"-2.44","-0.74","-0.69","-9.80","-9.85","0710","1223","071103","122223","01050111","2017"
"-2.96","-1.00","-0.92","-9.26","-9.32","1105","0101","110612","010107","01050111","2018"
"-8.24","-4.24","-4.17","-11.14","-11.19","0101","0607","010101","060623","01050111","2019"
"-7.16","-4.33","0.00","-11.34","-24.04","1011","0519","113024","110910","01050121","2005"
"-12.57","-9.21","-9.10","-15.61","-15.65","1231","0831","123123","083023","01050121","2006"
"-7.72","-4.73","-4.69","-12.86","-12.90","0625","1230","062508","123012","01050121","2007"
"-8.24","-3.20","-3.14","-14.60","-14.66","1110","0307","111009","030720","01050121","2008"
"-4.23","-2.52","-2.46","-5.99","-6.05","1026","0626","111612","062623","01050121","2009"
"-7.08","-1.60","-1.55","-14.39","-14.43","0222","1231","022205","123116","01050121","2010"
"-10.10","-6.23","-6.18","-14.41","-14.45","1003","0101","100217","010104","01050121","2011"
"-14.41","-8.88","-8.81","-16.44","-16.48","0101","0727","010207","072715","01050121","2012"
"-5.93","-3.02","-2.96","-11.78","-11.82","1230","0105","123011","010501","01050121","2013"
"-2.47","-1.22","-1.18","-3.72","-3.79","1013","0328","101305","042516","01050121","2014"
"-2.64","-0.99","-0.95","-3.67","-3.71","0224","0807","022406","080714","01050121","2015"
"-2.62","-1.54","-1.50","-4.01","-4.04","0711","0429","071117","042824","01050121","2016"
"-2.93","-1.19","0.00","-9.79","-9.87","0202","1223","100512","122223","01050121","2017"
"-3.53","-1.55","-1.50","-9.05","-9.10","1105","0104","110513","010411","01050121","2018"
"-8.37","-4.29","-4.26","-11.09","-11.16","0101","0327","010110","032724","01050121","2019"
"3.84","5.46","5.55","2.52","0.00","0901","0429","090120","113024","01060111","2005"
"3.10","4.31","4.37","2.22","2.15","0611","0123","061305","012319","01060111","2006"
"4.07","6.47","7.81","2.94","2.92","1007","1231","100703","123112","01060111","2007"
"3.51","6.33","6.39","2.18","2.16","0929","0501","093004","043012","01060111","2008"
"3.94","4.88","4.90","3.26","3.24","1025","0602","102503","060210","01060111","2009"
"3.28","4.67","4.68","1.86","1.84","0222","1231","022305","123118","01060111","2010"
"2.71","3.77","3.80","1.79","1.78","1218","0106","121812","010611","01060111","2011"
"2.24","3.44","3.52","1.52","1.50","0804","0416","080317","041610","01060111","2012"
"2.13","3.24","3.29","1.48","-2.08","0903","0411","100616","060410","01060111","2013"
"3.33","4.57","4.60","2.25","2.11","0701","0326","070118","032412","01060111","2014"
"3.56","5.01","5.04","3.10","3.07","0809","0430","080915","050111","01060111","2015"
"3.94","5.25","5.28","3.05","3.03","0929","0101","092904","010108","01060111","2016"
"3.60","5.07","5.09","2.50","2.47","0619","1229","061908","122919","01060111","2017"
"3.09","4.24","4.26","1.75","1.73","0212","0618","021113","060513","01060111","2018"
"-0.34","1.92","2.03","-2.54","-2.57","0101","1229","010105","122912","01060111","2019"
"17.00","19.22","19.53","15.31","15.30","0825","1231","082513","123119","01070111","2004"
"15.42","18.14","18.18","2.44","0.00","0806","0125","080524","113024","01070111","2005"
"16.26","18.37","18.42","15.39","15.39","0611","0101","061022","010101","01070111","2006"
"17.10","18.49","18.51","15.68","15.67","1007","0218","100711","021920","01070111","2007"
"17.01","18.59","18.65","16.05","16.04","0930","1230","091515","123005","01070111","2008"
"16.15","17.18","17.34","15.66","15.65","0816","0305","081515","030520","01070111","2009"
"16.59","17.52","17.66","15.84","14.55","0630","0717","062916","071606","01070111","2010"
"16.53","17.48","17.60","15.93","15.91","0720","0514","072013","051416","01070111","2011"
"17.34","18.44","18.63","16.59","16.57","0617","1117","061714","112106","01070111","2012"
"17.56","18.64","18.84","14.57","5.55","0824","0409","082413","040916","01070111","2013"
"17.62","18.54","18.67","16.84","16.82","0612","1227","061215","123123","01070111","2014"
"17.32","18.29","18.45","16.29","16.28","0808","0310","080811","031020","01070111","2015"
"17.97","18.65","18.88","16.91","16.90","0704","0104","071915","010319","01070111","2016"
"17.46","18.76","18.96","16.50","16.49","0618","0223","061723","022323","01070111","2017"
"17.27","18.51","18.54","16.62","16.61","0206","0625","020603","070112","01070111","2018"
"17.57","19.04","19.34","16.44","16.43","0703","1229","070219","123013","01070111","2019"
"3.22","4.83","4.88","2.48","2.42","0916","0702","091705","070114","01070211","2004"
"3.07","4.58","4.63","1.08","1.02","0809","1230","080924","123013","01070211","2005"
"2.53","3.72","3.77","1.03","0.98","0619","0124","062104","011815","01070211","2006"
"3.46","4.89","4.94","2.46","2.43","1007","0216","100701","020816","01070211","2007"
"3.74","4.44","4.49","3.31","3.30","0728","0131","072813","013110","01070211","2008"
"3.31","3.71","3.77","3.08","3.05","0824","0603","082314","053114","01070211","2009"
"3.88","4.27","4.35","3.27","3.26","1101","0101","110111","010107","01070211","2010"
"3.35","3.75","3.82","2.95","2.94","0724","0514","080115","051404","01070211","2011"
"3.90","4.71","4.78","3.26","1.49","0807","1225","061519","122509","01070211","2012"
"4.11","5.50","5.56","1.08","-6.23","0903","0401","090514","040912","01070211","2013"
"4.07","4.95","4.97","2.64","0.80","0703","0605","070405","060320","01070211","2014"
"3.65","4.18","4.20","3.21","2.34","1010","1231","100924","030213","01070211","2015"
"3.99","4.88","4.90","-2.20","-2.21","0724","0531","072404","053116","01070211","2016"
"3.27","4.30","4.37","1.33","1.32","0212","1229","021223","122812","01070211","2018"
"2.76","4.30","4.32","1.11","1.09","1011","0309","101124","030818","01070211","2019"
"-3.46","-1.90","0.00","-5.18","-5.19","0428","0803","113024","080319","01140111","2005"
"-3.02","-0.71","-0.70","-4.68","-4.70","0430","0929","042917","092907","01140111","2006"
"-3.96","-2.41","-2.36","-6.20","-6.21","0411","1230","041103","123009","01140111","2007"
"-2.87","-0.09","-0.03","-6.29","-6.31","0916","0110","091605","010918","01140111","2008"
"-2.84","-0.43","-0.41","-5.10","-5.11","1007","0101","100704","010101","01140111","2009"
"-1.95","-0.49","-0.47","-4.42","-4.45","0221","0502","022102","050308","01140111","2010"
"-2.17","-0.67","-0.65","-4.55","-4.57","0329","0621","031315","062122","01140111","2011"
"-1.66","-0.38","-0.37","-5.46","-5.48","0803","1226","080305","122607","01140111","2012"
"-2.94","-1.34","-1.33","-5.82","-5.86","0523","0120","052314","012007","01140111","2013"
"-2.42","-1.45","-1.43","-3.48","-3.50","0522","0101","052203","010101","01140111","2014"
"-1.61","-0.66","-0.65","-2.29","-2.32","0525","0117","052503","011709","01140111","2015"
"-0.84","-0.33","-0.26","-1.50","-1.52","0928","0101","092722","010101","01140111","2016"
"-1.04","0.07","0.07","-3.14","-3.16","0618","1231","061802","123121","01140111","2017"
"-2.19","-1.07","-1.07","-3.40","-3.42","0815","0106","081502","010609","01140111","2018"
